Image Name,Prompt,User Interest,Stay Duration,Platform,Model Name
TikTok1.jpeg,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, and this video is about  A small dog looking at an apple slice in a person's hand.. Please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word.",Pet,30,TikTok,gemini
TikTok2.jpeg,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, and this video is about  A man standing behind a table with three blocks of cheese.. Please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word.",Pet,0,TikTok,gemini
TikTok1.jpeg,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, and this video is about  A person is holding a slice of apple in front of a small dog's face.. Please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word.",Pet,30,TikTok,gemini
TikTok2.jpeg,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, and this video is about  A man standing behind a table with 3 blocks of cheese.. Please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word.",Pet,0,TikTok,gemini
TikTok1.jpeg,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, and this video is about  A person holding an apple slice in front of a chihuahua's face.. Please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word.",Pet,30,TikTok,gemini
TikTok2.jpeg,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, and this video is about  A man standing behind a table with 3 blocks of cheese on it.. Please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word.",Pet,0,TikTok,gemini
TikTok1.jpeg,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, and this video is about  A person is holding an apple slice in front of a small dog. The dog is looking up at the apple slice.. Please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word.",Pet,30,TikTok,gemini
TikTok2.jpeg,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, and this video is about  A man standing in front of a table with three blocks of cheese.. Please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word.",Pet,0,TikTok,gemini
TikTok1.jpeg,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, and this video is about  A person is holding a slice of apple in front of a chihuahua.. Please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word.",Pet,30,TikTok,gemini
TikTok2.jpeg,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, and this video is about  A man standing behind a table with 3 blocks of cheese.. Please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word.",Pet,0,TikTok,gemini
