Image Name,Prompt,User Interest,Stay Duration,Platform,Model Name
-29_13-52-11\TikTok1.jpeg13:52:24,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,0,TikTok,GPT4
-29_13-53-22\TikTok1.jpeg13:53:36,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,0,TikTok,gemini
-29_13-53-22\TikTok2.jpeg13:53:41,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,0,TikTok,gemini
-29_13-53-22\TikTok3.jpeg13:53:50,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,0,TikTok,gemini
-29_13-53-22\TikTok4.jpeg13:53:55,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,0,TikTok,gemini
-29_13-53-22\TikTok5.jpeg13:54:29,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,30,TikTok,gemini
-29_13-53-22\TikTok6.jpeg13:54:34,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,0,TikTok,gemini
-29_13-53-22\TikTok7.jpeg13:54:39,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,0,TikTok,gemini
-29_13-53-22\TikTok8.jpeg13:54:43,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,0,TikTok,gemini
-29_13-53-22\TikTok9.jpeg13:54:48,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,0,TikTok,gemini
-29_13-53-22\TikTok10.jpeg13:54:52,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,0,TikTok,gemini
-29_13-53-22\TikTok11.jpeg13:54:57,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,0,TikTok,gemini
-29_13-53-22\TikTok12.jpeg13:55:03,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,0,TikTok,gemini
-29_13-53-22\TikTok13.jpeg13:55:37,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,30,TikTok,gemini
-29_13-53-22\TikTok14.jpeg13:55:42,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,0,TikTok,gemini
-29_13-53-22\TikTok15.jpeg13:56:17,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,30,TikTok,gemini
-29_13-53-22\TikTok16.jpeg13:56:52,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,30,TikTok,gemini
-29_13-53-22\TikTok17.jpeg13:56:56,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,0,TikTok,gemini
-29_13-53-22\TikTok18.jpeg13:57:37,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,30,TikTok,gemini
-29_13-53-22\TikTok19.jpeg13:57:41,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,0,TikTok,gemini
-29_13-53-22\TikTok20.jpeg13:58:16,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,30,TikTok,gemini
-29_13-53-22\TikTok21.jpeg13:58:20,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,0,TikTok,gemini
-29_13-53-22\TikTok22.jpeg13:58:28,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,0,TikTok,gemini
-29_13-53-22\TikTok23.jpeg13:59:03,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,30,TikTok,gemini
-29_13-53-22\TikTok24.jpeg13:59:07,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,0,TikTok,gemini
-29_13-53-22\TikTok25.jpeg13:59:19,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,0,TikTok,gemini
-29_13-53-22\TikTok26.jpeg13:59:24,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,0,TikTok,gemini
-29_13-53-22\TikTok27.jpeg13:59:30,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,0,TikTok,gemini
-29_13-53-22\TikTok28.jpeg13:59:35,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,0,TikTok,gemini
-29_13-53-22\TikTok29.jpeg13:59:40,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,0,TikTok,gemini
-29_13-53-22\TikTok30.jpeg13:59:44,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,0,TikTok,gemini
-29_13-53-22\TikTok31.jpeg13:59:52,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,0,TikTok,gemini
-29_13-53-22\TikTok32.jpeg13:59:56,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,0,TikTok,gemini
-29_13-53-22\TikTok33.jpeg14:00:31,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,30,TikTok,gemini
-29_13-53-22\TikTok34.jpeg14:00:36,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,0,TikTok,gemini
-29_13-53-22\TikTok35.jpeg14:00:41,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,0,TikTok,gemini
-29_13-53-22\TikTok36.jpeg14:00:48,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,0,TikTok,gemini
-29_13-53-22\TikTok37.jpeg14:00:53,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,0,TikTok,gemini
-29_13-53-22\TikTok38.jpeg14:00:57,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,0,TikTok,gemini
-29_13-53-22\TikTok39.jpeg14:01:02,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,0,TikTok,gemini
-29_13-53-22\TikTok40.jpeg14:01:36,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,30,TikTok,gemini
-29_13-53-22\TikTok41.jpeg14:01:41,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,0,TikTok,gemini
-29_13-53-22\TikTok42.jpeg14:02:16,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,30,TikTok,gemini
-29_13-53-22\TikTok43.jpeg14:02:50,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,30,TikTok,gemini
-29_13-53-22\TikTok44.jpeg14:02:55,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,0,TikTok,gemini
-29_13-53-22\TikTok45.jpeg14:03:29,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,30,TikTok,gemini
-29_13-53-22\TikTok46.jpeg14:03:34,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,0,TikTok,gemini
-29_13-53-22\TikTok47.jpeg14:03:38,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,0,TikTok,gemini
-29_13-53-22\TikTok48.jpeg14:04:35,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,0,TikTok,gemini
-29_13-53-22\TikTok49.jpeg14:05:12,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,30,TikTok,gemini
-29_13-53-22\TikTok50.jpeg14:05:47,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,30,TikTok,gemini
-29_13-53-22\TikTok51.jpeg14:06:22,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,30,TikTok,gemini
-29_13-53-22\TikTok52.jpeg14:06:26,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,0,TikTok,gemini
-29_13-53-22\TikTok53.jpeg14:06:31,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,0,TikTok,gemini
-29_13-53-22\TikTok54.jpeg14:07:06,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,30,TikTok,gemini
